Source_pop,Treatment,Treat_rep,Ind_rep,clutch_1_date,AMPM_1,clutch_2_date,AMPM_2,clutch_3_date,AMPM_3,clutch_4_date,AMPM_4,clutch_5_date,AMPM_5
Low,S,4,16,10/1/18,AM,10/5/18,PM,10/9/18,AM,10/13/18,AM,,
Low,S,4,17,9/30/18,AM,10/4/18,AM,10/7/18,PM,10/11/18,AM,,
Low,S,4,18,,,,,,,,,,
Low,S,4,19,10/1/18,AM,10/4/18,PM,10/8/18,AM,10/12/18,AM,,
Low,S,4,20,9/30/18,AM,10/4/18,AM,10/8/18,AM,10/12/18,AM,,
High,S,4,1,10/1/18,AM,10/6/18,AM,10/11/18,PM,,,,
High,S,4,2,,,,,,,,,,
High,S,4,3,,,,,,,,,,
High,S,4,4,10/1/18,AM,10/5/18,PM,,,,,,
High,S,4,5,,,,,,,,,,
High,S,4,6,10/1/18,AM,10/5/18,PM,10/9/18,PM,,,,
High,S,4,7,10/2/18,AM,10/6/18,PM,10/11/18,PM,,,,
High,S,4,8,10/1/18,AM,10/5/18,AM,,,,,,
High,S,4,9,10/1/18,PM,10/7/18,AM,,,,,,
High,S,4,10,10/3/18,AM,,,,,,,,
High,S,4,11,,,,,,,,,,
High,S,4,12,10/3/18,AM,10/8/18,AM,,,,,,
High,S,4,13,10/1/18,AM,,,,,,,,
High,S,4,14,10/2/18,AM,10/6/18,AM,,,,,,
High,S,4,15,10/8/18,AM,,,,,,,,
High,S,4,16,10/1/18,AM,10/4/18,AM,10/8/18,AM,10/13/18,AM,,
High,S,4,17,10/1/18,AM,10/4/18,PM,10/11/18,AM,,,,
High,S,4,18,,,,,,,,,,
High,S,4,19,10/2/18,AM,,,,,,,,
High,S,4,20,10/5/18,AM,,,,,,,,
