Source_pop,Treatment,Treat_rep,Ind_rep,Gravid_1_date,Gravid_2_date,Gravid_3_date,Gravid_4_date,Gravid_5_date
Low,H,4,8,11/6/18,11/6/18,11/10/18,,
Low,H,4,9,10/27/18,10/27/18,,,
Low,H,4,10,,,,,
Low,H,4,11,,,,,
Low,H,4,12,,,,,
Low,H,4,13,,,,,
Low,H,4,14,11/7/18,11/14/18,11/20/18,,
Low,H,4,15,,,,,
High,H,1,1,11/5/18,11/13/18,11/20/18,,
High,H,1,2,11/5/18,,,,
High,H,1,3,11/4/18,11/4/18,11/6/18,11/10/18,
High,H,1,4,,,,,
High,H,1,5,11/2/18,,,,
High,H,1,6,10/30/18,10/30/18,10/30/18,,
High,H,1,7,10/28/18,10/29/18,10/30/18,,
High,H,1,8,11/25/18,,,,
High,H,1,9,10/28/18,10/31/18,11/6/18,,
High,H,1,10,11/3/18,11/5/18,11/5/18,,
High,H,1,11,,,,,
High,H,1,12,11/13/18,11/14/18,,,
High,H,1,13,,,,,
High,H,1,14,,,,,
High,H,1,15,,,,,
High,H,1,16,,,,,
High,H,1,17,,,,,
High,H,1,18,,,,,
High,H,1,19,,,,,
High,H,1,20,,,,,
High,H,2,1,11/5/18,,,,
High,H,2,2,,,,,
High,H,2,3,11/19/18,11/21/18,11/25/18,,
High,H,2,4,,,,,
High,H,2,5,11/14/18,,,,
High,H,2,6,11/18/18,11/18/18,,,
High,H,2,7,,,,,
High,H,2,8,,,,,
High,H,2,9,,,,,
High,H,2,10,,,,,
High,H,2,11,10/31/18,11/1/18,,,
High,H,2,12,11/6/18,11/9/18,11/9/18,11/10/18,
High,H,2,13,,,,,
High,H,2,14,10/28/18,10/29/18,,,
High,H,2,15,,,,,
High,H,3,1,,,,,
High,H,3,2,11/1/18,11/10/18,,,
High,H,3,3,,,,,
High,H,3,4,11/7/18,11/10/18,11/14/18,,
High,H,3,5,,,,,
High,H,3,6,,,,,
High,H,3,7,,,,,
High,H,3,8,11/6/18,,,,
High,H,3,9,11/7/18,,,,
High,H,3,10,,,,,
High,H,3,11,,,,,
High,H,3,12,,,,,
High,H,3,13,,,,,
High,H,3,14,11/21/18,,,,
High,H,3,15,,,,,
High,H,4,1,10/28/18,10/29/18,10/31/18,,
High,H,4,2,11/11/18,11/13/18,,,
High,H,4,3,,,,,
High,H,4,4,11/4/18,,,,
High,H,4,5,,,,,
High,H,4,6,,,,,
High,H,4,7,,,,,
High,H,4,8,,,,,
High,H,4,9,10/28/18,,,,
High,H,4,10,,,,,
High,H,4,11,11/11/18,11/11/18,11/16/18,,
High,H,4,12,11/10/18,11/13/18,,,
High,H,4,13,11/4/18,,,,
High,H,4,14,,,,,
High,H,4,15,11/11/18,,,,
High,H,4,16,,,,,
High,H,4,17,,,,,
High,H,4,18,11/12/18,11/14/18,11/15/18,,
High,H,4,19,,,,,
High,H,4,20,,,,,
High,H,4,21,,,,,
High,H,4,22,,,,,
High,H,4,23,,,,,
High,H,4,24,,,,,
Low,LC,1,1,,,,,
Low,LC,1,2,,,,,
Low,LC,1,3,,,,,
Low,LC,1,4,,,,,
Low,LC,1,5,,,,,
Low,LC,1,6,,,,,
Low,LC,1,7,11/18/18,,,,
Low,LC,1,8,,,,,
Low,LC,1,9,,,,,
Low,LC,1,10,,,,,
Low,LC,1,11,,,,,
Low,LC,1,12,,,,,
Low,LC,1,13,,,,,
Low,LC,1,14,,,,,
Low,LC,1,15,,,,,
Low,LC,1,16,11/1/18,11/2/18,11/3/18,11/4/18,
Low,LC,1,17,,,,,
Low,LC,1,18,11/9/18,11/13/18,11/16/18,,
Low,LC,1,19,10/29/18,10/31/18,11/4/18,,
Low,LC,1,20,,,,,
Low,LC,1,21,11/14/18,,,,
Low,LC,1,22,,,,,
Low,LC,1,23,11/4/18,,,,
Low,LC,1,24,11/5/18,11/6/18,11/12/18,,
Low,LC,3,1,,,,,
Low,LC,3,2,11/4/18,11/6/18,11/11/18,,
Low,LC,3,3,10/28/18,11/19/18,11/19/18,11/19/18,
Low,LC,3,4,,,,,
Low,LC,3,5,,,,,
Low,LC,3,6,,,,,
Low,LC,3,7,,,,,
Low,LC,3,8,,,,,
Low,LC,3,9,,,,,
Low,LC,3,10,,,,,
Low,LC,3,11,,,,,
Low,LC,3,12,10/27/18,10/27/18,10/28/18,,
Low,LC,3,13,,,,,
Low,LC,3,14,10/28/18,10/30/18,11/1/18,11/8/18,
Low,LC,3,15,10/29/18,10/30/18,10/30/18,10/30/18,11/3/18
Low,LC,3,16,,,,,
Low,LC,3,17,,,,,
